state_index,energy_hartree
0,-1.9708697582475092
1,-1.9153351761880362
2,-1.8576188373255498
3,-1.8319081340875862
4,-1.7958381173489546
5,-1.7647613422087156
6,-1.5121270499729342
7,-1.4504684961723857
8,-1.422970382123804
9,-1.3825513058438528
10,-1.3640424245833813
11,-1.35703611999333
12,-1.3490625927026583
13,-1.3276957635521913
14,-1.305726054316537
15,-1.28073611376408
16,-1.2655498692138227
17,-1.246317559579664
18,-1.1684181460826588
19,-1.158687556487394
20,-1.1194631899327616
21,-1.1070959044740698
22,-1.0825281418087036
23,-1.0599332741602627
24,-1.050180279666447
25,-1.0487238094904152
26,-0.9772386689722269
27,-0.9652187605790976
28,-0.8760788593952934
29,-0.8596558157532513
30,-0.7636865264041534
31,-0.7042430345962253
32,-0.6189329069099639
33,-0.5434599830471768
34,-0.24466370217230873
35,-0.2444984994003688
