state_index,energy_hartree,excitation_energy_hartree
0,-1.9689784833824084,0.0
1,-1.9082735798226322,0.0607049035597762
2,-1.857463887748019,0.11151459563438948
3,-1.8017132595182217,0.16726522386418674
4,-1.7932144342080494,0.17576404917435906
5,-1.7640049887073475,0.20497349467506099
6,-1.5074358466575994,0.461542636724809
7,-1.4494286331805357,0.5195498502018727
8,-1.412540533692928,0.5564379496894805
9,-1.368220188624855,0.6007582947575534
10,-1.358728093522626,0.6102503898597824
11,-1.3569961348144524,0.6119823485679561
12,-1.341031958982256,0.6279465244001525
13,-1.3275099743838423,0.6414685089985661
14,-1.278285977386509,0.6906925059958995
15,-1.267054292034053,0.7019241913483554
16,-1.1669331465719839,0.8020453368104246
17,-1.1605893180719664,0.808389165310442
18,-1.1554192359303892,0.8135592474520192
19,-1.1439510453160011,0.8250274380664073
20,-1.112309348283126,0.8566691350992823
21,-1.0593441449375431,0.9096343384448653
22,-1.0578343740578304,0.911144109324578
23,-1.0485093339359708,0.9204691494464377
24,-0.7954713396487353,1.1735071437336733
25,-0.34386802177450854,1.6251104616079
26,-0.33777320231927904,1.6312052810631295
